name,type,detailed_type,categ_id
EXPEDITED FREIGHT,Servicio,Servicio,Servicios
Elástico poliester número 10 crudo,Consumible,Consumible,Retornable / Consumibles (Retornable)
Empaque,Servicio,Servicio,Servicios
Empaque p702 - HUD 554. WINDOW PLATE.,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
Entrega gratuita,Servicio,Servicio,Todos / Deliveries
Envio,Servicio,Servicio,Servicios
"Esquinero Array 40""",Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Esquinero Kraft 2.75” x 2.75” x 7.5cm Cal .200,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
Esquinero Kraft de 2.75” x 2.75” x 84cm Cal .225,Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
Estructura Metálica con 16 inchos,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
"Estructura completa para kit Everest con Tarima, postes y tapa de madera Requisition #: 92815",Servicio,Servicio,Servicios
Etiqueta,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta  Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms. HUD 2,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta  Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms. HUD 3,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta  Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms. P703 CASE,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta  Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms. P703 LOWER CASE,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Estireno cal .20 10cm x 30cm hella,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Estireno cal .20 10cm x 80cm hella,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.143D CASE,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.143D LOWER CASE,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.CX430 DECORATE,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.CX430 RING,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.CX430 SHIELD,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.P703 BRACKETS & FLAT WIRE,Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Impresion en vinil Con tinta UV con acabado mate de 7 x 3 cms.P703 TFT),Consumible,Consumible,Retornable / Consumibles (Retornable)
Etiqueta Ropack Material Estireno Cal.20 Medida 171mm X 114mm,Producto almacenable,Producto almacenable,Retornable / Consumibles (Retornable)
"Etiqueta de vinil con tinta UV, acabado",Servicio,Servicio,Servicios
Etiqueta tipo kenedy leabel,Servicio,Servicio,Servicios
Everest. A. Inserto.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. B. Inserto. Carton Doble ECT 48,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. C. Inserto. Carton Doble ECT 48,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. Caja.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. D. Inserto. Carton Doble ECT 48,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. ENS FOAM. Tapa.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. Emp. Desechable. Caja Imp. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
Everest. Emp. Desechable. Caja. CORTE.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. Emp. Desechable. Tapa. Pieza.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. Ensamble Insertos + Caja + Foam + Estaticos.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. Pad. Carton Doble 36,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Everest. Tapa.,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
Evolon 80gr grey 1094ly por rollo,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
"Evolon ESD Guard 13oz/yd Grey / 85"" /100 LY/6-8 wks",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
"Evolon Standard GRAY 100 GREY , 36.5""",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
Excedente Billet Bars Charolas de Billet,Servicio,Servicio,Servicios
F - 362390 /362391 DUNNAGE ARMREST FRT & RR,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F COROPLAST - WINDOW PLATE CX430,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F COROPLAST WINDOW PLATE U725,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F ESD - WINDOW PLATE CX430,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F ESD WINDOW PLATE U725,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F GLASS FRONT 500B,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F WS DP DUNNAGE,Producto almacenable,Producto almacenable,Retornable / Producto en proceso (Retornable)
F10001 DUNNAGE 110 CAVITIES,Servicio,Servicio,Servicios
F10001 DUNNAGE 110 CAVITIES.,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
F10001 ROPACKS,Servicio,Servicio,Servicios
F10001 ROPACKS.,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
F13010 CAJAS PARA EMPAQUE U625,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
F13010 TAPAS PARA CAJAS PARA,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
F30008 EMPAQUE EN SOFTEK,Producto almacenable,Producto almacenable,Retornable / Producto Terminado (Retornable)
F30008/ Reemplazo para orden de compra 55078212 factura 16920,Servicio,Servicio,Servicios
F30008/ Remplazo para orden de compra 55078212 factura 17015,Servicio,Servicio,Servicios
F30008/ Remplazo para orden de compra 55078212 factura 17026,Servicio,Servicio,Servicios
F30008/ Remplazo para orden de compra 55078212 factura 17267,Servicio,Servicio,Servicios
F30008/ Remplazo para orden de compra 55078212 factura 17368,Servicio,Servicio,Servicios
F3008 TESLA IP EVEREST IP LOWER.,Servicio,Servicio,Servicios
F33024 KIT 8 CAVIDADES CUELLO,Producto almacenable,Producto almacenable,Cartón / Kit (Cartón)
F500251301,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500251480,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500251481,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500351668-IP PAD CK 32 ECT+ FOAM INSSERTS,Producto almacenable,Producto almacenable,Cartón / Producto Terminado (Cartón)
F500351673 CELDA A,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
F500351673 CELDA L,Producto almacenable,Producto almacenable,Cartón / Producto en proceso (Cartón)
